,link,title,prices,location,type,area,dates
11,https://www.99acres.com/4-bhk-bedroom-independent-house-for-rent-in-kothrud-pune-3200-sq-ft-spid-V20487447,4 Bedroom Independent House for rent in Kothrud,"₹ 75,000 /monthDeposit ₹ 0",,4 BHK4 Baths,"3,200 sq.ft. (297 sq.m.) Built-up Area",not give
12,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-wadhwani-sai-prem-park-pimple-saudagar-pune-1040-sq-ft-spid-F56576880,2 BHK Residential Apartment for rent in Pimple Saudagar,"₹ 19,000 /monthDeposit ₹ 50000",Wadhwani Sai Prem Park,2 BHK2 Baths,"1,040 sq.ft. (97 sq.m.) Super built-up Area",not give
13,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-mayureshwar-apartment-mandai-pune-660-sq-ft-spid-W56576856,1 BHK Residential Apartment for rent in Mandai,"₹ 17,000 /monthDeposit 3 month(s) rent",Mayureshwar Apartment,1 BHK1 Bath,660 sq.ft. (61 sq.m.) Carpet Area,not give
14,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-nanded-asawari-nanded-pune-1000-sq-ft-spid-V56576852,2 BHK Residential Apartment for rent in Nanded,"₹ 15,000 /monthDeposit 3 month(s) rent",Nanded Asawari,2 BHK2 Baths,"1,000 sq.ft. (93 sq.m.) Carpet Area",not give
15,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-magarpatta-annex-magarpatta-pune-695-sq-ft-spid-X51590898,1 BHK Residential Apartment for rent in Magarpatta,"₹ 20,500 /monthDeposit ₹ 50000",Magarpatta Annex,1 BHK1 Bath,695 sq.ft. (65 sq.m.) Super built-up Area,not give
16,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-rohan-tarang-society-wakad-pune-1250-sq-ft-spid-K56576284,2 BHK Residential Apartment for rent in Wakad,"₹ 21,000 /monthDeposit ₹ 60000",Rohan Tarang society ,2 BHK2 Baths,"1,250 sq.ft. (116 sq.m.) Built-up Area",not give
17,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-astonia-classic-wadachi-wadi-pune-905-sq-ft-spid-R56576234,2 BHK Residential Apartment for rent in Wadachi Wadi,"₹ 12,000 /monthDeposit 3 month(s) rent",Astonia Classic,2 BHK2 Baths,905 sq.ft. (84 sq.m.) Carpet Area,not give
18,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-xrbia-hinjewadi-road-nere-pune-530-sq-ft-spid-K55727156,2 BHK Residential Apartment for rent in Nere,"₹ 8,000 /monthDeposit ₹ 15000",Xrbia Hinjewadi Road,2 BHK2 Baths,530 sq.ft. (49 sq.m.) Super built-up Area,not give
19,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-kale-vidyadhan-dhanakwadi-pune-740-sq-ft-spid-A56575952,2 BHK Residential Apartment for rent in Dhankawadi,"₹ 13,000 /monthDeposit ₹ 40000",Kale Vidyadhan,2 BHK1 Bath,740 sq.ft. (69 sq.m.) Carpet Area,not give
20,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-sukhwani-gracia-sus-pune-969-sq-ft-spid-Q56575716,2 BHK Residential Apartment for rent in Sus,"₹ 17,000 /monthDeposit ₹ 40000",Sukhwani Gracia,2 BHK2 Baths,969 sq.ft. (90 sq.m.) Super built-up Area,not give
21,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-asa-residency-sant-nagar-lohegaon-655-sq-ft-spid-V56575648,1 BHK Residential Apartment for rent in Sant nagar wagholi road lohegaon,"₹ 6,500 /monthDeposit ₹ 20000",Asa residency sant nagar lohegaon,1 BHK1 Bath,655 sq.ft. (61 sq.m.) Carpet Area,not give
22,https://www.99acres.com/1-bhk-bedroom-independent-house-for-rent-in-manjri-bk-pune-550-sq-ft-spid-H56575616,1 Bedroom Independent House for rent in Manjri BK,"₹ 6,500 /monthDeposit ₹ 15000",,1 BHK1 Bath,550 sq.ft. (51 sq.m.) Plot Area,not give
23,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-raje-sankalp-c4-520-sq-ft-spid-K56575574,1 BHK Residential Apartment for rent in sector-17 and 19 chikhali,"₹ 7,000 /monthDeposit ₹ 18000",Raje sankalp C4,1 BHK1 Bath,520 sq.ft. (48 sq.m.) Carpet Area,not give
24,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-sai-sanskruti-wagholi-pune-1060-sq-ft-spid-A33314401,3 BHK Residential Apartment for rent in Wagholi,"₹ 13,000 /monthDeposit ₹ 30000",Sai Sanskruti,3 BHK2 Baths,"1,060 sq.ft. (98 sq.m.) Super built-up Area",not give
25,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-rent-in-sai-sanskruti-wagholi-pune-1060-sq-ft-spid-H81181440,3 BHK Residential Apartment for rent in Wagholi,"₹ 13,000 /monthDeposit ₹ 30000",Sai Sanskruti,3 BHK2 Baths,"1,060 sq.ft. (98 sq.m.) Super built-up Area",not give
0,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-siddhi-koyna-salisbury-park-pune-650-sq-ft-spid-V56568896,1 BHK Residential Apartment for rent in Salisbury Park,"₹ 14,000 /monthDeposit ₹ 40000",Siddhi Koyna,1 BHK1 Bath,650 sq.ft. (60 sq.m.) Built-up Area,not give
1,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-vm-vishwavihar-ambegaon-pune-980-sq-ft-spid-S27396655,2 BHK Residential Apartment for rent in Ambegaon,"₹ 16,000 /monthDeposit ₹ 40000",VM Vishwavihar,2 BHK2 Baths,980 sq.ft. (91 sq.m.) Super built-up Area,not give
2,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-atur-park-koregaon-park-pune-1120-sq-ft-spid-R56567882,2 BHK Residential Apartment for rent in Koregaon Park,"₹ 32,000 /monthDeposit ₹ 100000",Atur Park,2 BHK2 Baths,"1,120 sq.ft. (104 sq.m.) Carpet Area",not give
3,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-shankar-chhaya-soc-500-sq-ft-spid-R55596754,1 BHK Residential Apartment for rent in App reliance mall,"₹ 12,000 /month",Shankar chhaya soc,1 BHK1 Bath,500 sq.ft. (46 sq.m.) Carpet Area,not give
4,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-kalashree-md-rivera-bhugaon-pune-636-sq-ft-spid-H55507330,1 BHK Residential Apartment for rent in Bhugaon,"₹ 10,000 /monthDeposit ₹ 30000",Kalashree MD Rivera,1 BHK1 Bath,636 sq.ft. (59 sq.m.) Carpet Area,not give
5,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-rent-in-gk-jarvari-pimple-saudagar-pune-1100-sq-ft-spid-T56566872,2 BHK Residential Apartment for rent in Pimple Saudagar,"₹ 19,000 /monthDeposit 3 month(s) rent",GK Jarvari,2 BHK2 Baths,"1,100 sq.ft. (102 sq.m.) Super built-up Area",not give
6,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-shivnagari-keshav-nagar-pune-520-sq-ft-spid-Z26213031,1 BHK Residential Apartment for rent in Keshav Nagar,"₹ 8,500 /monthDeposit 2 month(s) rent",ShivNagari,1 BHK1 Bath,520 sq.ft. (48 sq.m.) Super built-up Area,not give
7,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-rent-in-gaikwad-mitra-mandal-colony-pune-500-sq-ft-spid-T51142428,1 BHK Residential Apartment for rent in Mitra Mandal Colony,"₹ 5,500 /monthDeposit ₹ 20000",Gaikwad,1 BHK1 Bath,500 sq.ft. (46 sq.m.) Super built-up Area,not give
